eta,theta_i_deg,cos_i,J_perp,J_parallel,det
0.67,76.97980757096495,0.22529443212381534,0.67,0.19925663656450912,0.1335019464982211
0.67,77.2805097204774,0.22017803877328235,0.67,0.1949053754545818,0.13058660155456983
0.67,77.58121186998983,0.21505558084172882,0.67,0.19053739792876523,0.1276600566122727
0.67,77.88191401950229,0.2099271994220688,0.67,0.18615300366770726,0.12472251245736386
0.67,78.18261616901472,0.2047930357703735,0.67,0.18175249844926894,0.1217741739610102
0.67,78.48331831852717,0.19965323130197915,0.67,0.17733619408519957,0.11881525003708372
0.67,78.78402046803961,0.1945079275875926,0.67,0.1729044083528056,0.11584595359637977
0.67,79.08472261755206,0.18935726634939254,0.67,0.16845746492160577,0.11286650149747587
0.67,79.38542476706449,0.18420138945712453,0.67,0.16399569327497274,0.10987711449423175
0.67,79.68612691657694,0.17904043892419422,0.67,0.1595194286267728,0.10687801717993778
0.67,79.98682906608938,0.17387455690375542,0.67,0.15502901183301684,0.10386943792812131
0.67,80.28753121560183,0.16870388568479536,0.67,0.15052478929854715,0.1008516088300266
0.67,80.58823336511426,0.16352856768821425,0.67,0.14600711287878732,0.09782476562878752
0.67,80.88893551462672,0.15834874546290312,0.67,0.1414763397765968,0.09478914765031987
0.67,81.18963766413916,0.153164561681818,0.67,0.1369328324342728,0.09174499773096277
0.67,81.4903398136516,0.14797615913804896,0.67,0.13237695842075062,0.08869256214190294
0.67,81.79104196316403,0.14278368074088782,0.67,0.12780909031406645,0.08563209051042454
0.67,82.0917441126765,0.13758726951189143,0.67,0.12322960557914588,0.08256383573802775
0.67,82.39244626218893,0.13238706858094315,0.67,0.118638886440997,0.079488053915468
0.67,82.69314841170137,0.12718322118230918,0.67,0.1140373197533861,0.07640500423476869
0.67,82.9938505612138,0.12197587065069425,0.67,0.10942529686309078,0.07331494889827084
0.67,83.29455271072626,0.11676516041729305,0.67,0.10480321346982378,0.07021815302478195
0.67,83.5952548602387,0.11155123400584058,0.67,0.10017146948193506,0.06711488455289649
0.67,83.89595700975114,0.10633423502865746,0.67,0.09553046886800014,0.06400541414156011
0.67,84.19665915926359,0.10111430718269512,0.67,0.0908806195044176,0.060890015067959796
0.67,84.49736130877604,0.0958915942455783,0.67,0.08622233301913913,0.05776896312282323
0.67,84.79806345828847,0.09066624007164363,0.67,0.08155602463166316,0.05464253650321433
0.67,85.09876560780091,0.08543838858797813,0.67,0.07688211298943422,0.05151101570292094
0.67,85.39946775731336,0.08020818379045448,0.67,0.07220102000079069,0.04837468340052977
0.67,85.7001699068258,0.07497576973976568,0.67,0.06751317066461422,0.04523382434529154
0.67,86.00087205633824,0.06974129055745566,0.67,0.0628189928968353,0.04208872524087966
0.67,86.3015742058507,0.06450489042195037,0.67,0.05811891735396172,0.03893967462715436
0.67,86.60227635536313,0.059266713564587105,0.67,0.053413377253796385,0.03578696276004358
0.67,86.90297850487558,0.05402690426564048,0.67,0.04870280819351651,0.032630881489656066
0.67,87.20368065438801,0.048785606850349314,0.67,0.0439876479652961,0.02947172413674839
0.67,87.50438280390047,0.04354296568494084,0.67,0.0392683363696518,0.026309785367666712
0.67,87.8050849534129,0.03829912517265522,0.67,0.03454531502670123,0.02314536106788983
0.67,88.10578710292535,0.0330542297497667,0.67,0.029819027185522,0.019978748214299742
0.67,88.4064892524378,0.027808423881606002,0.67,0.02508991753180969,0.016810244746312496
0.67,88.70719140195024,0.022561852058581803,0.67,0.020358431994030667,0.013640149436000549
0.67,89.00789355146267,0.017314658792199563,0.67,0.01562501754826863,0.010468761757339982
0.67,89.30859570097512,0.012066988611081986,0.67,0.010890122021971671,0.00729638175472102
0.67,89.60929785048756,0.0068189860569876914,0.67,0.006154193896801891,0.004123309910857267
